iter	Passed	Remaining
0	20	20789
1	35	17648
2	50	16896
3	65	16426
4	81	16132
5	93	15452
6	103	14732
7	120	14974
8	132	14607
9	143	14204
10	154	13868
11	165	13646
12	181	13786
13	193	13651
14	205	13468
15	224	13776
16	241	13983
17	257	14031
18	268	13876
19	277	13581
20	288	13457
21	300	13349
22	309	13135
23	323	13169
24	334	13043
25	343	12871
26	356	12860
27	368	12798
28	384	12883
29	395	12773
30	404	12657
31	420	12721
32	433	12689
33	447	12723
34	463	12767
35	477	12795
36	491	12792
37	504	12778
38	518	12769
39	532	12791
40	547	12807
41	561	12804
42	576	12834
43	587	12766
44	598	12704
45	607	12596
46	619	12569
47	634	12583
48	645	12533
49	663	12599
50	675	12573
51	688	12542
52	696	12442
53	707	12387
54	716	12312
55	728	12283
56	736	12192
57	746	12122
58	756	12060
59	766	12007
60	777	11968
61	787	11915
62	795	11828
63	803	11745
64	812	11685
65	824	11672
66	838	11681
67	848	11635
68	861	11626
69	873	11606
70	884	11579
71	894	11535
72	906	11514
73	920	11515
74	933	11511
75	941	11441
76	949	11378
77	957	11312
78	965	11252
79	973	11197
80	982	11149
81	990	11089
82	998	11033
83	1007	10989
84	1017	10948
85	1029	10940
86	1039	10911
87	1050	10884
88	1060	10859
89	1071	10833
90	1080	10794
91	1093	10795
92	1109	10820
93	1120	10804
94	1135	10818
95	1150	10832
96	1164	10839
97	1177	10836
98	1188	10813
99	1202	10823
100	1215	10822
101	1227	10810
102	1241	10814
103	1253	10798
104	1267	10803
105	1280	10802
106	1292	10784
107	1304	10777
108	1317	10769
109	1325	10725
110	1336	10704
111	1346	10678
112	1356	10645
113	1364	10602
114	1374	10579
115	1383	10541
116	1395	10533
117	1403	10490
118	1413	10461
119	1426	10458
120	1435	10428
121	1444	10393
122	1455	10378
123	1463	10342
124	1474	10322
125	1484	10295
126	1493	10263
127	1503	10245
128	1515	10230
129	1524	10203
130	1537	10202
131	1549	10187
132	1559	10167
133	1568	10138
134	1578	10111
135	1586	10076
136	1594	10041
137	1601	10004
138	1609	9968
139	1617	9935
140	1625	9902
141	1633	9868
142	1641	9834
143	1651	9815
144	1660	9792
145	1670	9770
146	1679	9747
147	1691	9735
148	1700	9710
149	1709	9688
150	1717	9658
151	1729	9648
152	1738	9623
153	1747	9598
154	1755	9570
155	1765	9553
156	1775	9533
157	1784	9512
158	1792	9482
159	1802	9462
160	1813	9449
161	1824	9435
162	1834	9422
163	1843	9395
164	1851	9368
165	1860	9346
166	1869	9325
167	1877	9299
168	1886	9276
169	1898	9270
170	1909	9257
171	1920	9245
172	1930	9228
173	1940	9210
174	1949	9189
175	1958	9167
176	1968	9153
177	1977	9132
178	1987	9118
179	1998	9106
180	2006	9080
181	2015	9059
182	2025	9042
183	2034	9022
184	2045	9011
185	2057	9005
186	2079	9040
187	2092	9036
188	2102	9020
189	2113	9008
190	2122	8990
191	2133	8979
192	2144	8966
193	2155	8953
194	2166	8945
195	2179	8939
196	2189	8923
197	2198	8903
198	2207	8884
199	2217	8869
200	2229	8862
201	2243	8861
202	2253	8846
203	2263	8832
204	2274	8820
205	2287	8815
206	2298	8807
207	2309	8792
208	2318	8773
209	2326	8752
210	2337	8739
211	2347	8725
212	2357	8709
213	2365	8686
214	2376	8677
215	2385	8659
216	2395	8643
217	2406	8633
218	2417	8622
219	2426	8604
220	2437	8590
221	2448	8580
222	2459	8570
223	2469	8555
224	2479	8539
225	2491	8531
226	2505	8530
227	2517	8525
228	2530	8520
229	2541	8507
230	2549	8487
231	2557	8466
232	2565	8445
233	2573	8424
234	2582	8408
235	2593	8395
236	2602	8378
237	2614	8370
238	2625	8360
239	2635	8345
240	2646	8335
241	2656	8321
242	2666	8306
243	2677	8296
244	2687	8282
245	2698	8270
246	2706	8249
247	2719	8245
248	2732	8241
249	2744	8234
250	2754	8218
251	2763	8201
252	2776	8198
253	2787	8186
254	2798	8176
255	2808	8162
256	2818	8147
257	2831	8143
258	2844	8137
259	2855	8128
260	2865	8113
261	2874	8096
262	2882	8078
263	2890	8059
264	2900	8043
265	2907	8022
266	2919	8016
267	2929	8002
268	2937	7983
269	2947	7968
270	2957	7955
271	2966	7938
272	2973	7919
273	2983	7904
274	2990	7884
275	3000	7872
276	3008	7853
277	3018	7838
278	3028	7825
279	3038	7812
280	3047	7797
281	3057	7785
282	3066	7768
283	3075	7752
284	3083	7736
285	3091	7717
286	3100	7701
287	3109	7687
288	3118	7670
289	3128	7659
290	3137	7645
291	3146	7629
292	3154	7610
293	3162	7593
294	3169	7575
295	3177	7557
296	3185	7539
297	3192	7521
298	3200	7504
299	3210	7490
300	3218	7473
301	3226	7457
302	3234	7440
303	3242	7424
304	3250	7406
305	3258	7389
306	3266	7372
307	3274	7356
308	3283	7342
309	3293	7329
310	3302	7317
311	3311	7303
312	3322	7292
313	3336	7288
314	3348	7281
315	3359	7270
316	3369	7259
317	3380	7250
318	3391	7240
319	3404	7233
320	3415	7223
321	3424	7211
322	3435	7200
323	3444	7186
324	3454	7174
325	3464	7162
326	3471	7145
327	3479	7129
328	3487	7112
329	3495	7096
330	3502	7079
331	3510	7063
332	3518	7046
333	3525	7030
334	3533	7014
335	3541	6998
336	3548	6981
337	3556	6965
338	3564	6949
339	3571	6933
340	3579	6917
341	3590	6907
342	3598	6893
343	3606	6877
344	3614	6861
345	3621	6845
346	3630	6832
